,,,,
,,,,
,"Population of London 2022, by borough",,,
,"Population of London in 2022, by borough",,,
,,,,
,Croydon,"392,224",,
,Barnet,"389,101",,
,Ealing,"369,937",,
,Newham,"358,645",,
,Brent,"341,221",,
,Bromley,"329,578",,
,Wandsworth,"329,035",,
,Enfield,"327,224",,
,Tower Hamlets,"325,789",,
,Lambeth,"316,812",,
,Southwark,"311,913",,
,Redbridge,"310,911",,
,Hillingdon,"310,681",,
,Lewisham,"298,653",,
,Greenwich,"291,080",,
,Hounslow,"290,488",,
,Waltham Forest,"275,887",,
,Havering,"264,703",,
,Haringey,"261,811",,
,Hackney,"261,491",,
,Harrow,"261,185",,
,Bexley,"247,835",,
,Islington,"220,373",,
,Barking and Dagenham,"219,992",,
,Camden,"218,049",,
,Merton,"214,709",,
,Westminster,"211,365",,
,Sutton,"210,053",,
,Richmond upon Thames,"194,894",,
,Hammersmith and Fulham,"185,238",,
,Kingston upon Thames,"168,302",,
,Kensington and Chelsea,"146,154",,
,City of London,"10,847",,