Cafe_Id,Cafe_Name,Cafe_Types
1,Take a Break,"['cafe', 'food', 'point_of_interest', 'establishment']"
2,Asda Dagenham Superstore,"['supermarket', 'atm', 'grocery_or_supermarket', 'cafe', 'clothing_store', 'gas_station', 'pharmacy', 'finance', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
3,Becontree Heath Leisure Centre,"['gym', 'cafe', 'school', 'health', 'food', 'point_of_interest', 'establishment']"
4,Harrow Lodge Leisure Centre,"['gym', 'cafe', 'school', 'health', 'food', 'point_of_interest', 'general_contractor', 'establishment']"
5,Eastbrook Cafe & Restuarant,"['restaurant', 'meal_takeaway', 'meal_delivery', 'cafe', 'food', 'point_of_interest', 'establishment']"
6,FIDDLERS CAFE,"['cafe', 'food', 'point_of_interest', 'establishment']"
7,bb's coffee & muffins,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
8,The Park Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
9,Shell,"['gas_station', 'convenience_store', 'car_wash', 'meal_delivery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
10,Morrisons Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
11,bp,"['gas_station', 'atm', 'cafe', 'finance', 'restaurant', 'food', 'point_of_interest', 'establishment']"
12,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
13,Mel's Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
14,Patisserie Valerie - Romford,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
15,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
16,Cafe Chateau,"['cafe', 'food', 'point_of_interest', 'establishment']"
17,Café Shot,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
18,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
19,Tea Pot Cafe Romford,"['cafe', 'food', 'point_of_interest', 'establishment']"
20,Caffe Della Continental,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
21,bp,"['gas_station', 'convenience_store', 'atm', 'cafe', 'store', 'finance', 'food', 'point_of_interest', 'establishment']"
22,artsdepot,"['art_gallery', 'cafe', 'food', 'point_of_interest', 'establishment']"
23,"New River Sport, Tennis & Fitness","['gym', 'cafe', 'bar', 'health', 'food', 'point_of_interest', 'establishment']"
24,Sable D'Or,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
25,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
26,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
27,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
28,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
29,Oak Caffe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
30,Cafe Brunello's,"['cafe', 'food', 'point_of_interest', 'establishment']"
31,Aroma Patisserie,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
32,Sunshine Garden Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
33,Vero Caffe,"['cafe', 'food', 'point_of_interest', 'establishment']"
34,Em's Coffee,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
35,Xpress Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
36,My Time Delicatessen,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
37,Cibo Bar Cafeteria,"['cafe', 'food', 'point_of_interest', 'establishment']"
38,The Cookie,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
39,Pots of Art,"['cafe', 'food', 'point_of_interest', 'establishment']"
40,Oak Hill Park Cafe,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
41,bp,"['gas_station', 'atm', 'car_wash', 'cafe', 'finance', 'food', 'point_of_interest', 'establishment']"
42,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
43,Asda Living Dartford,"['home_goods_store', 'cafe', 'clothing_store', 'food', 'store', 'point_of_interest', 'establishment']"
44,Village Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
45,Munchies,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
46,Kenny's Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
47,Koffi Pot,"['cafe', 'food', 'point_of_interest', 'establishment']"
48,Mooboo Bexleyheath,"['cafe', 'food', 'point_of_interest', 'establishment']"
49,Caffè Nero,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
50,Creams Cafe Bexleyheath,"['cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
51,Chinchins - Cafe Restaurant Bar,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
52,Vintage Lindy Lou,"['cafe', 'food', 'point_of_interest', 'establishment']"
53,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
54,Shell,"['gas_station', 'car_wash', 'meal_delivery', 'convenience_store', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']"
55,Luso Flavour Cafe & Deli,"['cafe', 'food', 'point_of_interest', 'establishment']"
56,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
57,Cafe Deluxe,"['cafe', 'food', 'point_of_interest', 'establishment']"
58,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
59,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
60,Cafe Concerto Ltd,"['cafe', 'food', 'point_of_interest', 'establishment']"
61,Ace Cafe London,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
62,Abbey Point Hotel,"['cafe', 'lodging', 'food', 'point_of_interest', 'establishment']"
63,Asda Park Royal Superstore,"['supermarket', 'gas_station', 'atm', 'pharmacy', 'cafe', 'clothing_store', 'grocery_or_supermarket', 'finance', 'store', 'food', 'point_of_interest', 'health', 'establishment']"
64,Asda Wembley Superstore,"['supermarket', 'gas_station', 'atm', 'pharmacy', 'cafe', 'clothing_store', 'grocery_or_supermarket', 'finance', 'store', 'food', 'point_of_interest', 'health', 'establishment']"
65,Caffè Nero,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
66,Patisserie Patchi,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
67,Amouage Lounge,"['cafe', 'night_club', 'bakery', 'store', 'food', 'bar', 'point_of_interest', 'establishment']"
68,New Atlas Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
69,Norman’s Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
70,Workmans Cafe London,"['cafe', 'food', 'point_of_interest', 'establishment']"
71,Starbucks Coffee,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
72,Treatz Dessert Parlour Wembley,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
73,Chaboba,"['cafe', 'food', 'point_of_interest', 'establishment']"
74,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
75,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
76,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
77,CerbulRomanesc.uk,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
78,Creams Cafe Wembley,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
79,Wild Bean Cafe,"['cafe', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
80,bp,"['gas_station', 'atm', 'car_wash', 'convenience_store', 'cafe', 'finance', 'store', 'food', 'point_of_interest', 'establishment']"
81,Costa Coffee,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
82,Costa Coffee,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
83,Caffè Nero,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
84,Costa Coffee,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
85,Costa Coffee,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
86,Krispy Kreme Bromley,"['cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
87,Rendezvous Caffe,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
88,Cafe Giardino - Bromley,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']"
89,Creams Cafe Bromley,"['meal_takeaway', 'cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
90,Caffè Nero,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
91,Unico Gelato & Caffé,"['cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
92,Pret a Manger,"['cafe', 'bar', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
93,Stonehenge Cafe,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
94,Caffè Nero,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
95,Wild Bean Cafe,"['cafe', 'convenience_store', 'point_of_interest', 'food', 'store', 'establishment']"
96,Chaplin’s Café,"['cafe', 'bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
97,Twins Cafe Bromley,"['cafe', 'point_of_interest', 'food', 'establishment']"
98,Costa Coffee,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
99,Shell,"['gas_station', 'convenience_store', 'cafe', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']"
100,Ted's Coffee Shop,"['cafe', 'point_of_interest', 'food', 'establishment']"
101,Generator London,"['cafe', 'lodging', 'food', 'bar', 'point_of_interest', 'establishment']"
102,The Wesley,"['cafe', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
103,The Rubens at the Palace,"['cafe', 'lodging', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
104,Park Room,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
105,BFI IMAX,"['movie_theater', 'cafe', 'store', 'food', 'bar', 'point_of_interest', 'establishment']"
106,The Bermondsey Square Hotel,"['cafe', 'lodging', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
107,The Wolseley,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
108,The Ivy,"['cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
109,Rich Mix,"['movie_theater', 'art_gallery', 'cafe', 'food', 'point_of_interest', 'establishment']"
110,The Pilgrm Hotel Restaurant and Bar Paddington,"['night_club', 'cafe', 'lodging', 'food', 'bar', 'point_of_interest', 'establishment']"
111,ODEON Tottenham Court Rd,"['movie_theater', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
112,L'Escargot Restaurant,"['cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
113,Wigmore Hall,"['cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
114,Monmouth Coffee Company,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
115,ODEON Luxe West End,"['movie_theater', 'cafe', 'store', 'food', 'bar', 'point_of_interest', 'establishment']"
116,The British Library,"['library', 'tourist_attraction', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
117,Foyles,"['book_store', 'cafe', 'electronics_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']"
118,Curzon Soho,"['movie_theater', 'cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
119,The Table Café,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
120,Swan London,"['restaurant', 'cafe', 'food', 'bar', 'point_of_interest', 'establishment']"
121,The Tram Stop,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
122,bp,"['gas_station', 'convenience_store', 'car_wash', 'atm', 'cafe', 'finance', 'store', 'food', 'point_of_interest', 'establishment']"
123,Pavilion @ BedZED,"['cafe', 'food', 'point_of_interest', 'establishment']"
124,Cafe Del Mar,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
125,Waddon Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
126,Today's Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
127,Al Amora Lounge,"['cafe', 'food', 'point_of_interest', 'establishment']"
128,Yeha Noha Cafe Bar,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']"
129,English & Continental,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
130,Pure Foods,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
131,Mayday Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
132,Classic Cafe Croydon,"['cafe', 'food', 'point_of_interest', 'establishment']"
133,Massarella Catering Co,"['cafe', 'food', 'point_of_interest', 'establishment']"
134,Crushed Bean,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
135,The Ludoquist - Board Game Cafe Bar,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
136,Caffè Nero,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
137,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
138,Caffè Nero,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
139,Bao Bao Taiwanese Street Food,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
140,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
141,Watermans Arts Centre,"['movie_theater', 'art_gallery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
142,The National Archives,"['book_store', 'park', 'cafe', 'storage', 'store', 'travel_agency', 'food', 'point_of_interest', 'establishment']"
143,Shell,"['gas_station', 'convenience_store', 'meal_delivery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
144,Piccola Italia Ealing,"['cafe', 'bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
145,Caffè Nero,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
146,The Original Maids of Honour,"['cafe', 'food', 'point_of_interest', 'establishment']"
147,Caffe Nero,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
148,Chiswick House and Gardens Trust,"['park', 'tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']"
149,Bagel & Shake Ealing,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
150,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
151,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
152,Brentford Fountain Leisure Centre,"['cafe', 'food', 'point_of_interest', 'establishment']"
153,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
154,Arabella sweet,"['cafe', 'food', 'point_of_interest', 'establishment']"
155,Boof Restaurant,"['meal_delivery', 'cafe', 'bar', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
156,Artisan Coffee School,"['cafe', 'food', 'point_of_interest', 'establishment']"
157,ODEON Luxe Lee Valley,"['movie_theater', 'cafe', 'bar', 'food', 'store', 'point_of_interest', 'establishment']"
158,bp,"['gas_station', 'car_wash', 'atm', 'cafe', 'finance', 'food', 'point_of_interest', 'establishment']"
159,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
160,Krispy Kreme Enfield,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
161,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
162,Cafe Venezia,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
163,Occo Cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
164,Creams Cafe Enfield,"['bakery', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
165,Caffè Nero,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
166,Leo's Coffee Shop,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
167,Zippola,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
168,Starbucks Coffee,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
169,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
170,Stantons Coffee House,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
171,Shell,"['gas_station', 'convenience_store', 'car_wash', 'meal_delivery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
172,Caffe Napoli,"['cafe', 'food', 'point_of_interest', 'establishment']"
173,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
174,The Larder,"['cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
175,Coffee Break,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
176,ODEON Greenwich,"['movie_theater', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']"
177,Costa Coffee - Woolwich DLR,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
178,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
179,The Garden Community Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
180,Charlton House & Gardens,"['cafe', 'food', 'point_of_interest', 'establishment']"
181,East Greenwich Pleasaunce,"['park', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
182,Asda Beckton Superstore,"['supermarket', 'gas_station', 'atm', 'cafe', 'pharmacy', 'grocery_or_supermarket', 'clothing_store', 'finance', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
183,Marks and Spencer,"['department_store', 'cafe', 'supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']"
184,Buenos Aires Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
185,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
186,The Coffee Lounge,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
187,Roz Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
188,Moca cafe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
189,Tesco Cafe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
190,First Choice Cafe And Restaurant,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
191,The Yoga Space London,"['cafe', 'gym', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
192,Menagerie Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
193,Arts Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
194,The Plumstead Pantry SE18,"['restaurant', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
195,The Chef House kitchen,"['cafe', 'food', 'point_of_interest', 'establishment']"
196,Cafe 1001,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']"
197,Ottolenghi Islington,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
198,Allpress Espresso Bar Shoreditch,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
199,Wilton's Music Hall,"['tourist_attraction', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']"
200,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
201,The Zetter Clerkenwell,"['cafe', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
202,La Divina Italian Restaurant,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
203,Cafe OTO,"['cafe', 'food', 'point_of_interest', 'establishment']"
204,The Breakfast Club Angel,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
205,Manicomio City Restaurant,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
206,Strongroom Bar,"['bar', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
207,Bottega Prelibato Restaurant,"['cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
208,Paper Dress Vintage,"['cafe', 'night_club', 'home_goods_store', 'bar', 'clothing_store', 'food', 'store', 'point_of_interest', 'establishment']"
209,Bike Shed Moto Co.,"['cafe', 'hair_care', 'bar', 'clothing_store', 'health', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
210,Caravan Exmouth Market Restaurant,"['restaurant', 'cafe', 'bar', 'food', 'store', 'point_of_interest', 'establishment']"
211,Gallery Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
212,Gallipoli Restaurant,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
213,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
214,Med's Cafe,"['cafe', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
215,London Lodge Hotel,"['night_club', 'cafe', 'clothing_store', 'lodging', 'store', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
216,Afternoon Tea at The Milestone Hotel,"['cafe', 'food', 'point_of_interest', 'establishment']"
217,Bluebird,"['night_club', 'cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']"
218,Serpentine Gallery,"['art_gallery', 'tourist_attraction', 'cafe', 'museum', 'food', 'point_of_interest', 'establishment']"
219,The Orangery Restaurant,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']"
220,"Dukes Meadows Golf, Tennis & Ski","['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
221,La Piccola Deli Pasticceria,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
222,The Hummingbird Bakery,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
223,Fulham Palace,"['museum', 'tourist_attraction', 'cafe', 'park', 'food', 'point_of_interest', 'establishment']"
224,The Hummingbird Bakery - South Kensington,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
