Cafe_Id,Vicinity,Latitude,Longitude,Borough
1,"244 Oxlow Lane, Dagenham",51.55102600000001,0.1547964,Barking and Dagenham
2,"Merrielands Crescent, Dagenham",51.5301912,0.1422174,Barking and Dagenham
3,"Althorne Way, Dagenham",51.5609465,0.1488995,Barking and Dagenham
4,"Hornchurch Road, Hornchurch",51.5632907,0.2089398,Barking and Dagenham
5,"264 Rainham Road South, Dagenham",51.5508213,0.1614183,Barking and Dagenham
6,"686 Becontree Avenue, Dagenham",51.5603893,0.1472634,Barking and Dagenham
7,"25-26 The Mercury Shopping Centre, Romford",51.5793087,0.185747,Barking and Dagenham
8,"King Georges Playing Fields Car Park, Eastern Avenue West, Romford",51.5845796,0.1679879,Barking and Dagenham
9,"Wood Lane, Dagenham",51.560415,0.1483637,Barking and Dagenham
10,"Beacontree Heath, Dagenham",51.560107,0.148194,Barking and Dagenham
11,"Rush Green Road, Romford",51.5657886,0.1769919,Barking and Dagenham
12,"East Business And Technical Park, Drive Thru, Drive Thru, Unit 1C, London, Yew Tree Avenue, Dagenham",51.54631500000001,0.167304,Barking and Dagenham
13,"Unit C8, Seedbed Centre, Essex",51.57008980000001,0.1839485,Barking and Dagenham
14,"Pod 3 The Brewery, Waterloo Road, Romford",51.57655380000001,0.179876,Barking and Dagenham
15,"Unit 1 The Brewery, Romford",51.577044,0.179623,Barking and Dagenham
16,"7-9 North Street, Romford",51.5788527,0.1796929,Barking and Dagenham
17,"78 Brentwood Road, Romford",51.57203699999999,0.1907102,Barking and Dagenham
18,"Unit 2A, Goodmayes Retail Park, High Road, Romford",51.5677842,0.117121,Barking and Dagenham
19,"43A Market Place, Romford",51.57987490000001,0.1822641,Barking and Dagenham
20,"unit 36&37, Mercury Shopping Centre, Mercury Gardens, Romford",51.57929710000001,0.1852055,Barking and Dagenham
21,"407 High Road, London",51.6008685,-0.1750689,Barnet
22,"5 Nether Street, London",51.61297440000001,-0.1768618,Barnet
23,"White Hart Lane, London",51.6046932,-0.0998435,Barnet
24,"249 Muswell Hill Broadway, London",51.5916559,-0.1430828,Barnet
25,"1287 High Road, London",51.6309277,-0.1753933,Barnet
26,"62-64 High Road, London",51.58895769999999,-0.1637612,Barnet
27,"376 Muswell Hill Broadway, London",51.5914856,-0.1424424,Barnet
28,"Coppetts Centre, North Circular Road, London",51.607269,-0.157001,Barnet
29,"1 Oakleigh Road North, London",51.6299675,-0.174411,Barnet
30,"729 Green Lanes, London",51.6311784,-0.0963743,Barnet
31,"424-426 Green Lanes, London",51.62220569999999,-0.1050254,Barnet
32,"41 East Barnet Road, Barnet",51.64990269999999,-0.171376,Barnet
33,"16 Sussex Ring, London",51.61498559999999,-0.1909997,Barnet
34,"1336 High Road, London",51.6322231,-0.1752574,Barnet
35,"Oakliegh Park Station,Platform, 1 Netherlands Road, Barnet",51.6377146,-0.1663405,Barnet
36,"375 Green Lanes, London",51.6194532,-0.1073493,Barnet
37,"28 Cannon Hill, London",51.6237631,-0.1227088,Barnet
38,"123 Bramley Road, London",51.6474255,-0.1321265,Barnet
39,"Tudor Grove, Church Crescent, London",51.6261468,-0.163929,Barnet
40,"Oak Hill Park Cafe, Parkside Gardens, Barnet",51.63460560000001,-0.1526013,Barnet
41,"295-313 Bexley Road, Erith",51.47278499999999,0.1625922,Bexley
42,"Broadway Shopping Centre, Central Square, Bexleyheath",51.45598,0.145861,Bexley
43,"Unit 4, Prospect Place, Dartford",51.44789999999999,0.21552,Bexley
44,"70 Bexley High Street, Bexley",51.44163959999999,0.1500741,Bexley
45,"228 Bexley Road, Erith",51.4735257,0.162357,Bexley
46,"74 Crayford High Street, Dartford",51.453291,0.176789,Bexley
47,"107 Welling High Street, Welling",51.46250209999999,0.108359,Bexley
48,"11, The Mall, Broadway Shopping Centre, Bexleyheath",51.4555653,0.1474154,Bexley
49,"115 Broadway, Bexleyheath",51.4565659,0.1441646,Bexley
50,"143 Broadway, Bexleyheath",51.4568521,0.1420772,Bexley
51,"171 Broadway, London, Bexleyheath",51.4570398,0.1407846,Bexley
52,"The Willows, Waterside, Dartford",51.45218149999999,0.1791639,Bexley
53,"Unit 3, Next, TOWER RETAIL PARK, Crayford Road, Dartford",51.45104199999999,0.180797,Bexley
54,"510 Blackfen Road, Sidcup",51.44774869999999,0.1167906,Bexley
55,"9 Welling High Street, Welling",51.4618917,0.1132583,Bexley
56,"28, Embassy Court, Welling",51.46199,0.11016,Bexley
57,"6 Bellegrove Road, Welling",51.4627016,0.107036,Bexley
58,"19 Blackfen Road, Sidcup",51.4503902,0.1034904,Bexley
59,"Unit 6, Riverside Shopping Centre, 21A Town Square, Erith",51.480319,0.1805111,Bexley
60,"Sidcup Railway Station, Sidcup",51.433904,0.104067,Bexley
61,"Ace Corner, North Circular Road, London",51.5413119,-0.277825,Brent
62,"300-302 Twyford Abbey Road, London",51.5349659,-0.2754636,Brent
63,"2-20 Western Road, London",51.52781,-0.2698899999999999,Brent
64,"Forty Lane, Wembley",51.56479119999999,-0.2755593,Brent
65,"27 St Anns Road, Harrow",51.5811242,-0.3352072,Brent
66,"28 Abbey Road, London",51.5326775,-0.2750395,Brent
67,"32-34 Cricklewood Broadway, London",51.5532854,-0.2110543,Brent
68,"New, Atlas Cafe, 69-71 Craven Park Road, London",51.53942640000001,-0.2527655999999999,Brent
69,"263 Hool Close, London",51.5830734,-0.2633904,Brent
70,"368 High Road, London",51.5492159,-0.2421223,Brent
71,"Engineers Way, Wembley",51.5587657,-0.2819752,Brent
72,"Designer Outlet, Unit 5a London, Wembley Park Boulevard, Wembley",51.557095,-0.2826485,Brent
73,"20 Wembley Park Boulevard, London",51.5574209,-0.2842227000000001,Brent
74,"Unit 49, London Designer Outlet, Wembley Park Boulevard, Wembley",51.55669,-0.28339,Brent
75,"7 Olympic Way, Wembley, London",51.561082,-0.2791689999999999,Brent
76,"19 Bridge Road, Wembley Park, Wembley",51.564592,-0.277879,Brent
77,"414 High Road, Wembley",51.5537699,-0.2912632,Brent
78,"Central Shopping Centre, 455 High Road, Wembley",51.55224049999999,-0.2965288,Brent
79,"2 Blackbird Hill, Wembley",51.5650114,-0.2644175,Brent
80,"2 Blackbird Hill, Wembley",51.56491,-0.26427,Brent
81,"33-34 Market Square, Bromley",51.405825,0.015281,Bromley
82,"194-202 High Street, Beckenham",51.40685,-0.0282,Bromley
83,"12 High Street, Chislehurst",51.4179858,0.0679893,Bromley
84,"51 Station Approach, Hayes, Bromley",51.376243,0.011273,Bromley
85,"Unit 28, The Glades Shopping Centre, Bromley",51.4037,0.016433,Bromley
86,"Kiosk 98 The Glades Shopping Centre, Bromley",51.40510380000001,0.0164632,Bromley
87,"94 High Street, Beckenham",51.4080039,-0.0255196,Bromley
88,"High Street, Bromley",51.4043845,0.0168914,Bromley
89,"12 Elmfield Road, Bromley",51.4025676,0.0164888,Bromley
90,"The Glades Shopping Centre, High Street, Bromley",51.4027547,0.0156025,Bromley
91,"75 High Street, Bromley",51.40229420000001,0.0158968,Bromley
92,"86 High Street, Bromley",51.4028644,0.0150561,Bromley
93,"161 High Street, Bromley",51.4053949,0.0149449,Bromley
94,"12-14 High Street, Bromley",51.4000539,0.0168009,Bromley
95,"133-135 Widmore Road, Bromley",51.40689620000001,0.0284365,Bromley
96,"171 Widmore Road, Bromley",51.406282,0.03289,Bromley
97,"48 Chatterton Road, Bromley",51.39197739999999,0.0358915,Bromley
98,"147-151 Westmoreland Road, Bromley",51.392181,0.001099,Bromley
99,"96A Bromley Hill, Bromley",51.4183057,0.001848,Bromley
100,"227 Southborough Lane, Bromley",51.3900669,0.050858,Bromley
101,"37 Tavistock Place, London",51.52620449999999,-0.124825,Camden
102,"81-103 Euston Street, London",51.5266402,-0.135689,Camden
103,"39 Buckingham Palace Road, London",51.49826530000001,-0.1434998,Camden
104,"86-90 Park Lane, London",51.5098444,-0.155529,Camden
105,"Waterloo, 1 Charlie Chaplin Walk South Bank",51.50487889999999,-0.1136318,Camden
106,"9 Bermondsey Square, London",51.497719,-0.0813155999999999,Camden
107,"160 Piccadilly, St. James's, London",51.5074427,-0.1409233,Camden
108,"1-5 West Street, London",51.51286029999999,-0.128045,Camden
109,"35-47 Bethnal Green Road, London",51.5243955,-0.0731967999999999,Camden
110,"25 London Street, London",51.51576679999999,-0.1744445,Camden
111,"Central Cross, 30 Tottenham Court Road, London",51.5183526,-0.1324275,Camden
112,"48 Greek Street, London",51.5139706,-0.1309972,Camden
113,"36 Wigmore Street, London",51.516608,-0.1481362,Camden
114,"2 Park Street, London",51.5055334,-0.0914069,Camden
115,"38a Leicester Square, London",51.50992159999999,-0.1301796,Camden
116,"96 Euston Road, London",51.52997169999999,-0.1276759,Camden
117,"107 Charing Cross Road, London",51.51430149999999,-0.1299049,Camden
118,"99 Shaftesbury Avenue, London",51.5127004,-0.1305849,Camden
119,"83 Southwark Street, London",51.5054844,-0.0998167,Camden
120,"21 New Globe Walk, Bankside, London",51.5082418,-0.0965236,Camden
121,"231 Lower Addiscombe Road, Croydon",51.38025599999999,-0.0733924,Croydon
122,"3 Mitcham Road, Croydon",51.3788072,-0.1109563,Croydon
123,"24A Sandmartin Way, Hackbridge, Wallington",51.3831545,-0.1565439,Croydon
124,"48 Stafford Road, Wallington",51.35851369999999,-0.1452875,Croydon
125,"445 Purley Way, Croydon",51.36465010000001,-0.1179416,Croydon
126,"267 Brighton Road, South Croydon",51.3538806,-0.0975441,Croydon
127,"78 Windmill Road, Croydon",51.385601,-0.0999072999999999,Croydon
128,"Yeha Noha Cafe, 19-21 Station Road, London",51.397839,-0.0756828999999999,Croydon
129,"1074, Whitgift Centre, 21 North End, Croydon",51.37550960000001,-0.0993801,Croydon
130,"4 Coomber Way, Croydon",51.38683090000001,-0.1344001,Croydon
131,"355 London Road, Croydon",51.3855279,-0.1100945,Croydon
132,"1019, Whitgift Centre, 21 North End, Croydon",51.37614199999999,-0.1026035,Croydon
133,"1 Drury Crescent, Croydon",51.3744896,-0.1170561,Croydon
134,"81 High Street, Croydon",51.37113649999999,-0.1001019,Croydon
135,"63-67 High Street, Croydon",51.3715824,-0.1003029,Croydon
136,"44 George Street, Croydon",51.37387829999999,-0.098422,Croydon
137,"Ground Floor, 11, Bath & Body Works, 19 North End, Croydon",51.374394,-0.101177,Croydon
138,"93 George Street, East, Croydon",51.37465539999999,-0.0944922,Croydon
139,"Unit 44-45, Boxpark, 99 George Street, Croydon",51.375038,-0.0941381999999999,Croydon
140,"1 Station, Station Approach, Croydon",51.375025,-0.093171,Croydon
141,"40 High Street, Brentford",51.4856828,-0.298389,Ealing
142,"Bessant Drive, Richmond",51.4811031,-0.2793934,Ealing
143,"882 Great West Road, Isleworth",51.48344400000001,-0.328037,Ealing
144,"21 The Green, London",51.51074070000001,-0.3052565,Ealing
145,"51 New Broadway, London",51.51271609999999,-0.3071020999999999,Ealing
146,"288 Kew Road, Richmond",51.48080189999999,-0.2884071,Ealing
147,"386 Chiswick High Road, London",51.49270509999999,-0.2647684,Ealing
148,"Chiswick House, London",51.4838077,-0.2586959999999999,Ealing
149,"46-48 Drayton Green Road, London",51.513111,-0.3194325000000001,Ealing
150,"Ealing Hospital, Uxbridge Road, Southall",51.50735,-0.34654,Ealing
151,"437 Uxbridge Road, London",51.50998,-0.28748,Ealing
152,"658 Chiswick High Road, Brentford, London",51.4908641,-0.2850528000000001,Ealing
153,"Unit 14, Westway Cross Shopping Park, Greenford",51.54279,-0.33946,Ealing
154,"Park Royal Business Centre, 9-17 Park Royal Road, London",51.52649329999999,-0.2662818999999999,Ealing
155,"57 New Broadway, London",51.512618,-0.307351,Ealing
156,"32 New Broadway, London",51.5131139,-0.3066972000000001,Ealing
157,"Lee Valley, Edmonton, Pickett's Lock Lane, London",51.6331468,-0.0372402,Enfield
158,"Bullsmoor Lane, Enfield",51.67990999999999,-0.04832,Enfield
159,"288 High Street, Enfield",51.64781300000001,-0.04783,Enfield
160,"492 Great Cambridge Road, Enfield",51.65235,-0.05934,Enfield
161,26 Palace Gardens Shopping Cen,51.651189,-0.083939,Enfield
162,"8 Chaseville Parade, Chaseville Park Road, London",51.643839,-0.113314,Enfield
163,"Market Chambers, Church Street, Enfield",51.65224389999999,-0.0828451,Enfield
164,"5-6 Savoy Parade, Enfield",51.6522106,-0.0768785999999999,Enfield
165,"Shopping Centre, palace Exchange, 22 The Town, Enfield",51.6514579,-0.0829525,Enfield
166,"Platform 1, Enfield Chase Railway Station, Windmill Hill, Enfield",51.6532102,-0.0908163,Enfield
167,"Zippola, Live to Eat, 93 Lancaster Road, Enfield",51.66408740000001,-0.0818323,Enfield
168,"208 Southbury Road, Enfield",51.6501224,-0.0607296,Enfield
169,"Unit 1, Next Home, Enfield Retail Park, Crown Road, Enfield",51.65448,-0.05898,Enfield
170,"7 Queen Anne's Place, Enfield",51.64181199999999,-0.0699637,Enfield
171,"790 Great Cambridge Road, Enfield",51.66362700000001,-0.0568554,Enfield
172,"79 Lynmouth Avenue, Enfield",51.6377731,-0.0667058,Enfield
173,"163 Hertford Road, Enfield",51.6579,-0.046995,Enfield
174,"26 The Green, London",51.6342671,-0.1028123,Enfield
175,"792 Green Lanes, London",51.63175500000001,-0.0945559,Enfield
176,"Bugsby's Way, London",51.49059219999999,0.0127925,Greenwich
177,"1 Woolwich New Road, London",51.490332,0.0693795,Greenwich
178,"Unit C, NEXT, 4 Brocklebank Road, London",51.49078,0.02343,Greenwich
179,"7 Cundy Road, London",51.51108729999999,0.0328802,Greenwich
180,"Charlton Road, London",51.48059880000001,0.0371722,Greenwich
181,"10 Chevening Road, London",51.484675,0.0137639,Greenwich
182,"Tollgate Road, Beckton",51.515668,0.0582619999999999,Greenwich
183,"115 Eltham High Street, London",51.4509354,0.0549693,Greenwich
184,"17 Royal Parade, London",51.46716559999999,0.007254,Greenwich
185,"41 Tranquil Vale, London",51.467399,0.007877,Greenwich
186,"Equitable House, 29 Greens End, London",51.4904417,0.0682417,Greenwich
187,"1 Pier Road, London",51.50087869999999,0.0630942999999999,Greenwich
188,"10 Old Dover Road, London",51.476733,0.0209958,Greenwich
189,"Grand Depot Road, London",51.48919209999999,0.0662492999999999,Greenwich
190,"51 Hare Street, London",51.49348,0.0633789999999999,Greenwich
191,"Norton House, Duke of Wellington Avenue, London",51.4946502,0.0665347999999999,Greenwich
192,"Unit 9, The I O Centre, Skeffington Street, London",51.4920267,0.0764839,Greenwich
193,"Thames-Side Studios Gallery, Harrington Way, Warspite Road, London",51.4946119,0.0448459,Greenwich
194,"16 Warwick Terrace, London",51.48180379999999,0.0836855,Greenwich
195,"Westminster Industrial Estate, 19 Bowater Road (unit 76 In, London",51.49396369999999,0.0421675,Greenwich
196,"91 Brick Lane, London",51.52093410000001,-0.0719882,Hackney
197,"287 Upper Street, London",51.5397504,-0.1022929,Hackney
198,"58 Redchurch Street, London",51.52440099999999,-0.0742603999999999,Hackney
199,"1 Graces Alley, London",51.51070129999999,-0.0668967,Hackney
200,"9 Eldon Street, Broadgate, London",51.518699,-0.084719,Hackney
201,"49-50 Saint John's Square, London",51.5230962,-0.1038718,Hackney
202,"134 Upper Street, London",51.5392687,-0.1025622,Hackney
203,"18-22 Ashwin Street, London",51.54694199999999,-0.0747723,Hackney
204,"31 Camden Passage, London",51.5350988,-0.103734,Hackney
205,"6 Gutter Lane, London",51.5155225,-0.0954193,Hackney
206,"120-124 Curtain Road, London",51.5259464,-0.0800521999999999,Hackney
207,"43-45 Rivington Street, London",51.52612739999999,-0.0814290999999999,Hackney
208,"352a Mare Street, London",51.5473541,-0.0546725999999999,Hackney
209,"384 Old Street, London",51.5271434,-0.0788825,Hackney
210,"11-13 Exmouth Market, London",51.52546299999999,-0.1100856,Hackney
211,"St. Margarets House Settlement, 21 Old Ford Road, Bethnal Green, London",51.52987400000001,-0.05447,Hackney
212,"119 Upper Street, London",51.5385288,-0.1026159,Hackney
213,"46 Cowcross Street, London",51.519943,-0.105043,Hackney
214,"37 Burdett Road, London",51.522864,-0.0339748999999999,Hackney
215,"134-136 Lexham Gardens, London",51.495723,-0.19496,Hammersmith and Fulham
216,"1-3 Kensington Court, London",51.50200719999999,-0.1866267,Hammersmith and Fulham
217,"350 King's Road, London",51.4847353,-0.1755033,Hammersmith and Fulham
218,London,51.50462700000001,-0.175073,Hammersmith and Fulham
219,"Kensington Palace Gardens, London",51.5065855,-0.1877335,Hammersmith and Fulham
220,"Dan Mason Drive, London",51.472398,-0.2634714,Hammersmith and Fulham
221,"La Piccola Deli Pasticceria, 270 Kensington High Street, London",51.4986294,-0.2008059,Hammersmith and Fulham
222,"133 Portobello Road, London",51.5140807,-0.2038636,Hammersmith and Fulham
223,"Bishop's Avenue, London",51.4707092,-0.2159675,Hammersmith and Fulham
224,"47 Old Brompton Road, London",51.4933004,-0.1754869,Hammersmith and Fulham
225,"26 Putney High Street, London",51.4652107,-0.2142387,Hammersmith and Fulham
226,"73 Blythe Road, London",51.497602,-0.2175909,Hammersmith and Fulham
