Place_Id,Rating,Number_Ratings
ChIJP5iSZRul2EcRuLlMBSZy-JY,4.0,40
ChIJdwGW-HOl2EcRkRKhL91oI_s,3.6,822
ChIJfRvpP_yk2EcRMHJ8P6PE448,3.6,824
ChIJbz00eCW72EcRv-wkpDkmsGQ,3.8,391
ChIJmSZw6z2l2EcRpS8prTdOqic,4.3,91
ChIJnSemhv6k2EcR9ybePKhA6Es,4.3,97
ChIJw0exmLWk2EcRxHSOqVLdhDo,3.9,265
ChIJmxBxcL2k2EcRBPbuxzhEjbs,4.4,147
ChIJI_k0xwGl2EcRAuS_d1XUIm4,2.8,33
ChIJHcUMy_2k2EcRi08StUy8GOQ,4.0,234
ChIJJ9Aiktqk2EcRkkktIFPy7Ng,1.4,17
ChIJVaUoVD2l2EcR5i7ZiZxIamI,4.4,309
ChIJDbURO8yk2EcRXuerEHrAuxw,4.7,220
ChIJ5zHF98ik2EcRIHy8nGLOzRc,3.9,687
ChIJ3ZZSM8ik2EcRb_mKxIpJ1Gc,4.1,481
ChIJ6d55Nbak2EcRHzo7VFfrkmI,4.4,151
ChIJWZiKoumk2EcR6oiARs03Iis,4.6,113
ChIJ95BU_kek2EcRjE6XVfHFYXw,4.2,565
ChIJ9cyXebak2EcRJeRja8SMOa0,4.2,91
ChIJc_JIoLWk2EcR58mbBv-WHrM,4.0,235
ChIJTYFDde8ZdkgR9KCXadpVz18,3.9,49
ChIJB_gqY-8ZdkgRU6aKu6Fdqfk,4.5,987
ChIJ_els_lMZdkgRSSLrKRSAxxY,3.9,151
ChIJe8io5ywadkgRuYAsxazLI88,4.1,206
ChIJ4Y0CjM8ZdkgR-S2eowdOLWE,3.9,288
ChIJacjKtiIadkgRfU5V88DMpew,4.0,285
ChIJOUm63iwadkgRwG_lEUctXlo,4.1,314
ChIJH_fo_o4ZdkgRHJ1nb4BaGOQ,4.0,42
ChIJwauucMUZdkgRz414hwIbOfs,4.5,484
ChIJl8UkZS0ZdkgRWpC9V9_jxyQ,4.7,198
ChIJlY7w3UQZdkgRaE1gxX-VUIA,4.6,441
ChIJo4ajzTAYdkgRn_gi8BQlMFM,4.2,42
ChIJBRutLV8XdkgRnRZvEHzi_H0,4.2,403
ChIJ04O-vs8ZdkgRXhviichG68M,4.2,368
ChIJWzl2D8sZdkgRn6OTL_F81hg,4.8,5
ChIJY8nh7UcZdkgRGG-KBAMnM1w,4.7,110
ChIJaakfbBQZdkgRWdTh_OG_GT8,4.5,149
ChIJTy0AbfsYdkgRAuDOqHjfIdw,4.7,43
ChIJKRW7ubgZdkgRkVY2INArxxo,4.0,2
ChIJq2c410oYdkgREmElQfJjAmo,4.1,405
ChIJDSRYM7Wv2EcR_XRCsanQQLo,2.6,63
ChIJNfJno16u2EcRJjvruvEL094,4.0,456
ChIJ9RXQG5Sx2EcRWTG7YWpWpYc,4.2,1243
ChIJkwDoLWWu2EcR7ajmLxyDRzQ,4.5,115
ChIJ6-KsMLWv2EcRGwmnwCigq8w,4.5,197
ChIJ-9mlxyKu2EcRVHxnICHG6GI,4.5,85
ChIJ04VP1dqu2EcRajwudSrobUY,4.3,190
ChIJ69rfpV6u2EcReSrHDYdB3rI,4.5,71
ChIJFaDu0F6u2EcRDnSTuG_K3VQ,4.3,347
ChIJO6w2Sl-u2EcRL44zoSzYINc,3.6,508
ChIJb8EVVV-u2EcRPOfev6EhciU,4.7,462
ChIJzfaBhiKu2EcRkkbChv7B4iU,4.7,142
ChIJ__f-Uh-u2EcR-WcZuuKGAFE,4.3,172
ChIJFxTEAr6u2EcRXddnz0-kNG0,4.1,100
ChIJKXGZMMOu2EcRgfM51IDaxlg,4.8,172
ChIJ3aoEt8Su2EcRaZU3vcOdrO0,4.2,115
ChIJoxv-tdqu2EcRAzVx5TEg1tU,4.7,199
ChIJb90Tubeu2EcRYIMvHOeDJdc,4.2,212
ChIJSW9qE7iv2EcR0P5LDTdT3EM,4.3,309
ChIJG4Fz7qiu2EcRMJg2HFHaJKI,3.8,19
ChIJP1sJ24sRdkgRub025F6UBxU,4.5,5503
ChIJvdO_R_MRdkgRztxcqEwrrtQ,4.3,400
ChIJb_iYL-4RdkgRfILoKI4ebYM,3.5,1045
ChIJRRYSm3oRdkgRS-5hMF5b8Ew,3.7,1204
ChIJBWXObnQTdkgRsYxXc4yemBQ,4.2,468
ChIJg4wor8IRdkgRgAwqnD6Ri8g,4.1,2728
ChIJmQH8mWAQdkgRJ0HPM_T9Q6E,3.9,152
ChIJ8W0wI7kRdkgRW6-1ys1qqyk,4.7,115
ChIJpx1MM0ERdkgRcu4svZ7f78Q,4.4,62
ChIJnXFthq4RdkgRl3ZrMaca4iM,4.5,109
ChIJ9zXBzn8RdkgRY_Q5iQzWOVo,3.9,444
ChIJEW0d_H8RdkgR5DV-jXPeitQ,4.0,582
ChIJS2ixB4ARdkgRU_EEtQRK1fc,4.2,341
ChIJ-aPOTu8TdkgRRsfsbQRa5GQ,4.2,769
ChIJJdEFiX4RdkgRisKEG44Brw8,4.2,316
ChIJz-xQYnwRdkgRcflYuM4YWR8,4.3,350
ChIJZzOoViwSdkgRwI0UQatC9sc,4.0,600
ChIJcaIBFDISdkgRwpmRMqfir3g,3.8,714
ChIJncfnq3MRdkgROyzxU5tCxWM,1.0,1
ChIJ8_I5MnIRdkgRCzzpYBTsnaM,2.9,32
ChIJET4kMWyq2EcRe-MuXqNyeaA,4.1,749
ChIJ4cJqjr4BdkgRzVNA5O4EB8A,4.2,357
ChIJ6QmB98Kr2EcRQcXkoK5_uVo,4.4,231
ChIJMxXjgpqq2EcR1csDbb6Sxks,4.2,260
ChIJo82pu26q2EcRHSaUKj5E8qg,3.9,456
ChIJo82pu26q2EcR32KCcRr0WJQ,4.2,75
ChIJ1R_1ub8BdkgRgOoP_wAKkjE,4.6,403
ChIJ77GFz26q2EcRn5_Ntm6w0kE,4.1,875
ChIJ0Rtp3G6q2EcRVbMX16QCIWs,4.1,689
ChIJ34AlmW6q2EcRe1oqMkqZ770,4.0,742
ChIJ80IP4W6q2EcRH9ykXgBVY6Y,4.6,633
ChIJ06eD9zSr2EcRJAXbCwF6Ots,3.8,283
ChIJ62Wp022q2EcRWp_cwGeEByA,4.2,311
ChIJPwEFUG-q2EcRJxK_c83Bfqg,4.2,262
ChIJKb4HxUaq2EcR9l9n8jCK5oU,,0
ChIJJ79LQ0aq2EcRqspvnrJ0gGM,4.2,64
ChIJfWvicFeq2EcRzHjjR0nPMH4,4.7,130
ChIJ_7roc3-q2EcRo1l3FP8FaAs,4.1,191
ChIJc-RXTgiq2EcRIEWD-6U8F68,4.0,90
ChIJ9Zf_aqqr2EcRnHgBwaTl3ls,4.9,64
ChIJM4cpDTobdkgRx8LDQJ76Yu8,3.7,4373
ChIJSXkoEyYbdkgRpmQAturmT2k,3.9,1567
ChIJXX6W2iAFdkgREIjlbrOHCOw,4.5,1818
ChIJx_BjgDEFdkgRoN3QNXf9dAU,4.5,218
ChIJm_mee7cEdkgRM0sbLsHGeWg,4.6,6419
ChIJU3VpMEMDdkgRpGZTvZ-x7jI,4.2,760
ChIJr_4cVy8FdkgRIrNbO93eUFM,4.4,6057
ChIJVcvKc80EdkgRyV3q0YIzDvc,4.4,3508
ChIJDT5Fc7ccdkgRTJN0vGqwGNE,4.5,1973
ChIJARBMxLIadkgR-ahswfwrT8w,4.0,920
ChIJpy-n8ygbdkgRblRTJU1WiXA,3.7,1572
ChIJv2nJxtIEdkgR5BVDRcOlpog,4.4,857
ChIJ-dNEa9MadkgRNYqylAShZqU,4.8,1260
ChIJ94DTm1cDdkgRibmgxzXy2EQ,4.5,2088
ChIJ8xZFCNIEdkgRh6ulrAY-hOw,4.6,343
ChIJlRMXcDsbdkgRJdsP3nlUkBg,4.5,2638
ChIJ5574rdIEdkgRA9294QpXDhw,4.7,11013
ChIJR_tP9tIEdkgR50LK64QCsck,4.5,1586
ChIJbc-9tKgEdkgR2qNGtGhKWLc,4.3,1982
ChIJ70dbCqkEdkgR_2rXCHnP0aQ,4.3,3039
ChIJe6d449wAdkgRZPwin12YzPU,4.3,320
ChIJgdGJVyMHdkgRHKzCOp_0wGU,2.6,54
ChIJNS_vQ7EHdkgRFyK2VdPwcBQ,4.0,51
ChIJ-WvL5pwHdkgRqqF2HK8LUXY,4.7,72
ChIJq-fOaGoHdkgRvkMkjIfTPHo,4.3,90
ChIJ21zcuFMHdkgRh-QbHbjKxs8,4.7,348
ChIJq3cuZSkHdkgRR-RY_6fw3ow,4.4,165
ChIJT5vUeiMBdkgRZ9f-RcPCAbc,4.6,206
ChIJh_Hx1TMHdkgRD1iVBwvtUOQ,4.2,56
ChIJM97UeAEHdkgRjDWhyplj3Mo,5.0,2
ChIJPUgZ0CYHdkgRJa6AJdqGXSM,4.3,75
ChIJ2TGVnjEHdkgRIAhxj6LcQKA,3.3,108
ChIJNQzkGBYHdkgRQer4GIung1E,4.0,3
ChIJrzNRjjYHdkgR-MHNcB5Tww4,4.8,305
ChIJ6Se2ljYHdkgRLtO-G6KxKJ4,4.8,1254
ChIJ9S-z7zMHdkgRTmJQjgzJJBo,4.2,456
ChIJDT-3PTEHdkgRKE5gsi5UCUM,4.3,174
ChIJYXTMODMHdkgRh4O8AAYyv-Q,4.1,498
ChIJTRLMMDMHdkgRqePhdxMY-E4,4.7,646
ChIJjUnXzcwAdkgRHYG4WUom9Zc,3.9,143
ChIJP1sJ24sRdkgRub025F6UBxU,4.5,5503
ChIJg8sNzcUNdkgR_S-B1tKKYTU,4.5,626
ChIJYe6r5ngOdkgRf6SVcbMsQ0k,4.5,238
ChIJR-ldBggNdkgREAGotmsEobM,3.6,51
ChIJvdO_R_MRdkgRztxcqEwrrtQ,4.3,400
ChIJb_iYL-4RdkgRfILoKI4ebYM,3.5,1045
ChIJbcpVz_QNdkgR_lEpKWoNYjo,4.1,561
ChIJdQPH2ooNdkgRBrfbYIFbHVc,4.3,371
ChIJc6omM9cNdkgRvrMpr224nbk,4.3,1013
ChIJrRFJoWwOdkgResXT_6d6W4U,4.2,378
ChIJn41YYUIOdkgR7Axs1ca0HZQ,4.6,938
ChIJZ0evRYYNdkgRy-FGu1dUr2U,3.6,266
ChIJE8vwrl4NdkgRw2tHb1qShmk,3.8,225
ChIJP-gIz5eqd0gRdUMyi6EZOkA,3.9,229
ChIJg4wor8IRdkgRgAwqnD6Ri8g,4.1,2728
ChIJA_7iA98NdkgR8IfbXecH1vg,3.5,1082
ChIJl2L7z2cSdkgRo74jxAuXx0A,4.1,742
ChIJuy7UOO8RdkgRGZimx1sBN6c,5.0,1
ChIJEzcD6IoNdkgR21oZVnC1dYA,4.1,813
ChIJT4ERy4oNdkgRbv3nQazu080,4.7,266
ChIJZ9BlTloedkgRMx_MWbh5iB0,4.3,3691
ChIJicXfbX8fdkgRCJFKKTbLQCQ,2.9,19
ChIJ4TT-YAcfdkgRSZJHRXqaLTo,4.0,110
ChIJ9731qRofdkgR_z8our7oTZE,4.4,2623
ChIJR_cD5S8fdkgR4Mt6aE8CLUQ,4.0,249
ChIJl8UkZS0ZdkgRWpC9V9_jxyQ,4.7,198
ChIJ1_dsIN8YdkgR7i0lq7VfmuM,4.6,91
ChIJOxDYBTAfdkgRTlNkqRq9xYo,4.4,18
ChIJMWRQVzsfdkgRDuerztcUklE,4.0,897
ChIJRfoTrDofdkgRnKqBmcw6Ybw,3.9,516
ChIJb6coQzIfdkgRAjmXl7WnJLE,4.7,27
ChIJRY1T20cfdkgRQKClloYK7_E,4.5,299
ChIJuxIO6RofdkgRByQ9t1LxgBo,3.6,82
ChIJcVqXuQ8fdkgRV-o5df5DDWg,4.1,309
ChIJsyI65R8fdkgRDoGwWggqvf4,4.8,93
ChIJ29DdwHIfdkgRVScJVqNs5Wc,4.1,112
ChIJt98SEeEedkgRQfOBj3qabLE,,0
ChIJfQesp6AfdkgRZg45ojvM9xI,4.2,253
ChIJkYDn4y4ZdkgRmlpreHUyic0,4.6,94
ChIJZXaaSy0ZdkgRD3elCWHFrGA,4.6,553
ChIJV9DJkD6o2EcRU7piWt6eKBM,4.1,4143
ChIJqaXtVuqo2EcROkrxQemFFVo,3.7,507
ChIJEfz3s0Co2EcRf16Y1uxXXR4,4.2,226
ChIJqTqfIneo2EcRp5oO3mWw6AQ,4.7,114
ChIJPxw89E6o2EcRZB3M9ThmSow,4.5,678
ChIJS__ikjqo2EcRbhoIhRk_h04,4.6,326
ChIJAQsOPNWn2EcR9EUp-qjRM6I,3.6,1005
ChIJi2AeI3Op2EcR4EG1d3UVBxE,4.2,926
ChIJD2tuXdGp2EcRTm_RJxck12o,4.4,569
ChIJn4ljDdGp2EcRm1z7Y4fwR6g,4.2,279
ChIJqXZnT-qo2EcR5CeWmIfw0Iw,4.2,515
ChIJX05KEZGo2EcR7fJISzZyf8w,4.3,82
ChIJ7_RQtjWo2EcRSy5ba2Pew88,4.6,239
ChIJrWh-3Ouo2EcRaVbAefjwnY4,3.7,56
ChIJM_aituyo2EcR2R0zrymLWXI,4.5,461
ChIJdcvD68Co2EcRYFV4MBpPQ1o,4.8,63
ChIJL37yMseo2EcR3pmopsPd_Zk,3.4,11
ChIJW-L9ZmCo2EcRD6uBtukAr3s,4.3,70
ChIJycUwatCo2EcRp7YHAKZ7OK4,4.7,162
ChIJr2pAGW-p2EcRadF0WqUVdxU,4.7,124
ChIJDT5Fc7ccdkgRTJN0vGqwGNE,4.5,1973
ChIJcwCeFbYcdkgRlPGrpXVrFBo,4.2,959
ChIJYVig82YbdkgRi6zgskkA6TM,4.4,2116
ChIJV_Via7ccdkgRvCItLvUmrNw,4.4,612
ChIJbcQbMTQDdkgRGnjfXht0wPA,4.8,2093
ChIJn9GcSawcdkgRn37GMHm3zAg,4.1,422
ChIJr6-6s1EbdkgRwChbpZiwqqA,4.4,972
ChIJS81X-GYbdkgRVxyAEsjWrwg,4.5,1011
ChIJT572jI0cdkgRe6ZCGWDlysg,4.6,626
ChIJc9cGbF0bdkgRznpH5zlh38E,4.2,2312
ChIJ6agvSFUbdkgR3PO7Wiq5wyA,4.2,398
ChIJf8u2m7ocdkgRLeLo56yXOug,4.2,2003
ChIJX85JrrocdkgRn0nUGes3k1s,4.1,682
ChIJGfZUnLocdkgRGn_TKi4O0WM,4.6,498
ChIJ9e503dICdkgRulsUq3cF-8Y,4.7,3675
ChIJT_W5ikUbdkgRoEa2c9t3e5s,4.2,1266
ChIJr34Mk9scdkgRqczSG77MsbE,4.3,941
ChIJ-S8EqGcbdkgRvtjI--yC5KE,4.4,1423
ChIJX36gA1IbdkgR_qGNlo6ZDbk,4.1,280
ChIJo-nayTEddkgR2WOy_wNNC9Q,4.2,634
ChIJC8OFcvMPdkgReKARKoiXKs0,4.2,365
ChIJ98briVgFdkgR3vxkMvlFN28,4.6,92
ChIJARBMxLIadkgR-ahswfwrT8w,4.0,920
ChIJuW4AjG8FdkgRDb_vqbTS508,4.2,3101
ChIJOQxY9E8FdkgRe1P4OVUdwM8,4.4,1635
ChIJ7w-V58oNdkgRMcz9MMtot9Q,3.9,499
ChIJ57ACrWEOdkgRajz4Kz-BExA,4.3,730
ChIJYe6r5ngOdkgRf6SVcbMsQ0k,4.5,238
ChIJg-N64-0PdkgRT1mKgT3DLs0,4.6,561
ChIJFaENbuIPdkgRpLxw62U-cws,4.1,297
ChIJd2HTbaAPdkgRzADh38gQpO0,4.5,1685
ChIJHeUXBWgFdkgR3eOA_V-hKEs,4.0,269
ChIJgUvfVQwPdkgRQHqiMvvlzBU,4.4,1193
ChIJoUqLysYPdkgRMhFRzLdSSsk,4.2,170
ChIJrWezwF4FdkgR5k5LjWXMp8Q,4.3,1028
ChIJvcNu_6APdkgRk8rzNDb_oVk,4.4,54
ChIJ7bOFjEIFdkgRwCbRqdYFfEY,3.9,1783
ChIJXdGdcP4PdkgRwdBqUcXiqro,4.3,915
ChIJyV5LXgMPdkgRl5Kl8sVW7BQ,3.7,723
ChIJgwQn4PYPdkgRVZlJuahYFpE,4.1,1992
ChIJF3oCXCocdkgRRNnfZq9libc,4.7,285
ChIJ8cOgRfcbdkgRvjVdEdKoYFM,4.5,943
ChIJTYFDde8ZdkgR9KCXadpVz18,3.9,49
ChIJqaky95obdkgRrAYqOEJqzFY,4.6,1183
ChIJhZfaTscbdkgRlZdqVCiPY4Q,4.0,295
ChIJZ20dkU4adkgRWapJzD0CpC0,4.2,202
ChIJ_els_lMZdkgRSSLrKRSAxxY,3.9,151
ChIJhSaewjocdkgRySLQiP1aBoI,4.1,2071
ChIJDW4aLcEbdkgRXponAUDais8,4.5,490
ChIJESKOosEbdkgRwqRUxCUwp4o,4.6,528
ChIJW7rCb7sbdkgRr9FVKm8aJ1o,4.6,101
ChIJvZQfDrIbdkgROCFmyEkSgcs,4.2,342
ChIJB_gqY-8ZdkgRU6aKu6Fdqfk,4.5,987
ChIJe8io5ywadkgRuYAsxazLI88,4.1,206
ChIJhSaewjocdkgRNporYICF_YI,3.9,1152
ChIJHWbkG4sbdkgRJaxwruoRUXA,3.7,328
ChIJacjKtiIadkgRfU5V88DMpew,4.0,285
ChIJOUm63iwadkgRwG_lEUctXlo,4.1,314
ChIJpxBC5ywadkgRw8MU5BO1l2A,4.1,441
ChIJl8UkZS0ZdkgRWpC9V9_jxyQ,4.7,198
ChIJof-nbqQWdkgR3ockSIdXzr0,4.5,54
ChIJBWXObnQTdkgRsYxXc4yemBQ,4.2,468
ChIJ53t0mb9sdkgRp7SGGS3tOsY,4.2,251
ChIJJ44YTaQWdkgRQ_deYMHXeUQ,3.9,410
ChIJ6UsHgRgTdkgRvYUNfn72MZw,4.1,498
ChIJHQEYQDYTdkgR2fNinSsxSFg,4.7,306
ChIJw_AmgIQUdkgRbS0bnwObugI,4.4,123
ChIJEb3fyHUTdkgRru5BOZ-fzxE,4.2,90
ChIJL7uLNGoUdkgR_Y7QrZ05W2w,4.1,302
ChIJP1sxBXcTdkgR3zMPAQDRXFY,3.8,26
ChIJtwIAx34TdkgRIlU3RY1q7i4,4.4,49
ChIJSZY6MHYTdkgR1nA_C05AU5A,4.0,372
ChIJ0dRcZn4TdkgRvQUUjxDBeLo,4.2,410
ChIJlSwg83MTdkgRNcjZRAj4ilY,4.2,653
ChIJNfSRSnITdkgRLPAe0_vvYRw,4.4,180
ChIJ1a0KynMTdkgR51_pv8ybXmY,4.2,754
ChIJKV6mKYQUdkgRpl3AQ2r-qWE,3.9,18
ChIJqbvQenMTdkgR1RYQZUPWxDs,4.1,70
ChIJTcQqA14TdkgR2y94J8Jdags,4.0,108
ChIJq-MwhXcUdkgREpdV1LOH4AI,4.4,330
ChIJO7T_mma72EcRVfw9R8LmPiU,4.0,136
ChIJP5iSZRul2EcRuLlMBSZy-JY,4.0,40
ChIJfRvpP_yk2EcRMHJ8P6PE448,3.6,824
ChIJbz00eCW72EcRv-wkpDkmsGQ,3.8,391
ChIJw0exmLWk2EcRxHSOqVLdhDo,3.9,265
ChIJmxBxcL2k2EcRBPbuxzhEjbs,4.4,147
ChIJtzrxkW672EcRLBgsFRhqyLw,4.5,198
ChIJDbURO8yk2EcRXuerEHrAuxw,4.7,220
ChIJ9cyXebak2EcRJeRja8SMOa0,4.2,91
ChIJc_JIoLWk2EcR58mbBv-WHrM,4.0,235
ChIJ6d55Nbak2EcRHzo7VFfrkmI,4.4,151
ChIJ3ZZSM8ik2EcRb_mKxIpJ1Gc,4.1,481
ChIJ5zHF98ik2EcRIHy8nGLOzRc,3.9,687
ChIJWZiKoumk2EcR6oiARs03Iis,4.6,113
ChIJo_iAdLuk2EcRCUZeYLzS1z0,3.8,82
ChIJS-tWYEW72EcRlCS0F1vh7OM,4.1,207
ChIJJ9Aiktqk2EcRkkktIFPy7Ng,1.4,17
ChIJjXg--SS72EcR1hawT9fDZog,4.5,12
ChIJnSemhv6k2EcR9ybePKhA6Es,4.3,97
ChIJx5DP3Wa72EcRhIJoa6pMa0k,3.9,109
ChIJcZ1xXg5udkgRleINWx2c0Ls,4.1,2447
ChIJg_sqUEpudkgRoj4B-RQNBms,4.2,729
ChIJp9CQhfVsdkgRmaAQGUbcA7w,3.9,382
ChIJJaoEb3pudkgRMABG9GQ5kn4,4.1,976
ChIJ-1GWDXpudkgRs8Xrtx6Lwuc,4.1,291
ChIJK8ZpWd1tdkgRScRyhC96Hg4,4.0,3
ChIJfZzzhnpudkgRFbQ9D9qYhPM,3.9,292
ChIJBXKnEAVudkgR3MPhEMlnx1o,4.5,136
ChIJzxUQVXdudkgRnqDgntTYtM0,4.2,622
ChIJDWBCsTgFdkgR_7fGtwNNq0c,2.0,47
ChIJXcfJB3pudkgR1lfkcra0TZQ,4.1,511
ChIJN9qAn3BudkgRTka33KJsfj4,4.6,34
ChIJK6DoDnpudkgRHHq5mB7nrKc,4.3,355
ChIJnbBEf3ludkgRWgUXGzMapek,4.0,955
ChIJcUJY8gpudkgR2bPYVpUFRcM,4.2,267
ChIJCa3sCopudkgRB2vYszIXt6c,4.2,155
ChIJn5uc-UhsdkgRGzNgUfaIvFE,4.5,161
ChIJJfssBv5xdkgRReEA_w0-7Mc,4.2,79
ChIJ9XoVG_NudkgRWGCIpGKi3SE,3.5,31
ChIJc54p6iVudkgRebP0u-P6WVs,4.4,109
ChIJDeGlH2IMdkgRgNY8wJ-NeTM,4.5,264
ChIJhz8jkGEMdkgRRK1tAA-1yOA,4.5,978
ChIJIyBNH3JzdkgRtdilh0Fe_xI,4.1,4080
ChIJR-ldBggNdkgREAGotmsEobM,3.6,51
ChIJlcba-W1zdkgRysRbaek6rp8,4.2,315
ChIJAQ6ZGlBzdkgR88N2lQidhck,4.2,133
ChIJg8sNzcUNdkgR_S-B1tKKYTU,4.5,626
ChIJraSTrJgMdkgRPzOxp3F9wLo,4.4,2127
ChIJy24lXkcMdkgR5EaQGFhx3po,4.5,2188
ChIJdbtF4dkMdkgR3JlywZP43Hg,4.2,1151
